object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,priviledged_flow,labels
process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],['memory_write'],[],[],0,0
file,['/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851-init/diff/etc/hosts'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0,0
file,['/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851-init/diff/etc/hostname'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0,0
process_memory,['/usr/bin/dockerd'],"['/usr/bin/dockerd', '/symlink_swap']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['memory_read'],"['memory_write', 'clone_mem']",[],[],0,1
process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],0,0
process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],0,0
file,"['/systemd/netif/.#stateOwbOay', '/systemd/netif/state']","['/lib/systemd/systemd-timesyncd', '/bin/networkctl']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
,"['/systemd/netif/links/13', '/systemd/netif/links/.#13cii44w']","['/usr/bin/python3.6', '/lib/systemd/systemd-resolved']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],"['/bin/networkctl', 'list', '--no-legend', '--no-pager']",0,0
file,"['/systemd/resolve/stub-resolv.conf', '/systemd/resolve/.#stub-resolv.confC85tGR']",['/usr/bin/dockerd'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
file,['/var/lib/docker/containers/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/hosts'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0,0
file,['/var/lib/docker/containers/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/resolv.conf'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0,0
file,['/var/lib/docker/containers/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/hostname'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0,0
file,"['/systemd/netif/.#state0Psl2v', '/systemd/netif/state']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/12', '/systemd/netif/links/.#120mTDZu']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
,"['/systemd/netif/state', '/systemd/netif/.#stateys1jXt']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/13', '/systemd/netif/links/.#13Ssc1Us']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
pipe,['/docker/runtime-runc/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/exec.fifo'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['read'],['write'],[],"['/var/run/docker/runtime-runc/moby', 'json', '--log-format', 'docker-runc', 'd0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/log.json', '--log', '--root', 'start']",1,0
socket,[],"['/usr/bin/dockerd', '/symlink_swap', '/usr/bin/docker-runc']","['/usr/bin/docker-containerd-shim', '/usr/bin/docker-runc']","[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['send_msg', 'socket_pair_create', 'socket_create', 'send']","['/var/run/docker/runtime-runc/moby', 'json', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/init.pid', 'docker-runc', '--log-format', 'init', 'd0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/log.json', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368', '--bundle', '--pid-file', '--log', '--root', 'create']",[],0,1
socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 0, 1]","['receive_msg', 'receive']","['send', 'socket_pair_create', 'send_msg', 'socket_create']","['docker-runc', 'init']",[],0,0
socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['socket_pair_create', 'socket_create']","['docker-runc', 'init']",[],0,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 0, 1]",['memory_read'],['clone_mem'],"['docker-runc', 'init']",[],0,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['memory_read'],['clone_mem'],[],[],0,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],['clone_mem'],[],"['/var/run/docker/runtime-runc/moby', 'json', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/init.pid', '--log-format', 'docker-runc', 'd0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/log.json', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368', '--bundle', '--pid-file', '--log', '--root', 'create']",1,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']","[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],1,0
socket,[],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['receive_msg'],['socket_create'],[],[],0,0
process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],"['memory_write', 'exec_task', 'clone_mem']",[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#statei9FSus']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/.#13SVIM4r', '/systemd/netif/links/13']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#statekPqKEr']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
,"['/systemd/netif/links/.#3eWRJer', '/systemd/netif/links/3']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/resolve/.#stub-resolv.confiFfiLL', '/systemd/resolve/stub-resolv.conf']",['/usr/bin/sudo'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
