object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,priviledged_flow,labels
process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['/var/run/docker/runtime-runc/moby', 'json', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/init.pid', '--log-format', 'docker-runc', 'create', 'd0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/log.json', 'state', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368', '--bundle', '--pid-file', '--log', '--root', 'start']",1,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'exec_task', 'clone_mem']",[],"['/var/run/docker/runtime-runc/moby', 'json', 'docker-runc', '--log-format', 'd0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/log.json', 'state', '--log', '--root']",1,0
link,"['/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851/diff/totally_safe_path-stashed', '/totally_safe_path-stashed', '/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851/diff/totally_safe_path', '/totally_safe_path']",['/usr/bin/dockerd'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']","[1, 1, 1, 1, 1]","['getattr', 'read_link']",['rename'],"['/totally_safe_path', '/symlink_swap']",[],1,1
pipe,[],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['read'],"['write', 'file_lock']","['docker-untar', '/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851/merged']","['docker-untar', '/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851/merged']",0,0
process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],"['memory_write', 'exec_task', 'clone_mem']",[],[],0,0
pipe,[],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['read'],"['write', 'file_lock']","['docker-untar', '/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851/merged/totally_safe_path']","['docker-untar', '/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851/merged/totally_safe_path']",0,0
process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],"['memory_write', 'exec_task', 'clone_mem']",[],[],0,0
file,['/w00t_w00t_im_a_flag'],['/bin/bash'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['perm_check'],['write'],"['docker-untar', '/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851/merged/totally_safe_path']",[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#stateYdoDkt']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/.#13Wjlzqv', '/systemd/netif/links/13']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],0,0
process_memory,['/lib/systemd/systemd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['--prefix=/net/ipv4/conf/vethd44be3c', '--prefix=/net/ipv6/conf/vethdbb7a52', '--prefix=/net/ipv6/conf/vethd44be3c', '--prefix=/net/ipv4/neigh/vethdbb7a52', '--prefix=/net/ipv4/neigh/vethd44be3c', '--prefix=/net/ipv6/neigh/vethdbb7a52', '--prefix=/net/ipv4/conf/vethdbb7a52', '--prefix=/net/ipv6/neigh/vethd44be3c', '/lib/systemd/systemd-sysctl']",0,0
process_memory,['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-timesyncd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],[],0,0
process_memory,['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['memory_read', 'ptrace_read']",['memory_write'],[],[],0,0
