object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,priviledged_flow,labels
file,['/var/lib/docker/overlay2/21efa2c02f6440f41f476bc42aeb1eaa92e551129830f2784320b939dae8c78f-init/diff/etc/hosts'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0,0
file,['/var/lib/docker/overlay2/21efa2c02f6440f41f476bc42aeb1eaa92e551129830f2784320b939dae8c78f-init/diff/etc/hostname'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0,0
file,['/var/lib/docker/overlay2/21efa2c02f6440f41f476bc42aeb1eaa92e551129830f2784320b939dae8c78f-init/diff/etc/resolv.conf'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0,0
process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-journald'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],0,0
process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-journald'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#statedZoqXK']","['/lib/systemd/systemd-timesyncd', '/bin/networkctl']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'perm_check', 'open', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/13', '/systemd/netif/links/.#13LJV2v1']","['/lib/systemd/systemd-resolved', '/usr/bin/python3.6']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'open', 'perm_check', 'read']","['write', 'rename']",[],"['--no-legend', '/bin/networkctl', '--no-pager', 'list']",0,0
file,"['/systemd/resolve/stub-resolv.conf', '/systemd/resolve/.#stub-resolv.confdVNohr']",['/usr/bin/dockerd'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['getattr', 'open', 'perm_check', 'read']","['write', 'rename']",[],[],0,0
file,['/var/lib/docker/containers/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/hosts'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0,0
file,['/var/lib/docker/containers/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/resolv.conf'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0,0
file,['/var/lib/docker/containers/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/hostname'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#statezDlP7h']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/13', '/systemd/netif/links/.#13h0uEJy']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'open', 'read', 'perm_check']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#stateP2BzlP']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'open', 'perm_check', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/.#12zUNvX5', '/systemd/netif/links/12']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'perm_check', 'open', 'read']","['write', 'rename']",[],[],0,0
pipe,[],['/usr/bin/docker-containerd'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['read'],['write'],"['/proc/self/fd/3', '/overwrite_runc', '/entrypoint']","['-workdir', '/var/lib/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', '/usr/bin/docker-containerd', 'moby', '/var/run/docker/runtime-runc', '-namespace', '-address', '/var/run/docker/containerd/docker-containerd.sock', '-containerd-binary', 'docker-containerd-shim', '-runtime-root']",1,1
pipe,['/docker/runtime-runc/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/exec.fifo'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['read'],['write'],[],"['/var/run/docker/runtime-runc/moby', 'start', '--root', 'ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', '--log', 'json', '--log-format', 'docker-runc', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/log.json']",1,0
socket,[],['/usr/bin/docker-runc'],"['/usr/bin/docker-containerd-shim', '/usr/bin/docker-runc']","[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['send', 'socket_pair_create', 'send_msg', 'socket_create']","['/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/init.pid', 'init', '--root', 'ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', '--log', 'json', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', '--pid-file', 'docker-runc', '--log-format', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/log.json', '--bundle', '/var/run/docker/runtime-runc/moby', 'create']",[],0,0
socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 0, 1]","['receive_msg', 'receive']","['socket_pair_create', 'socket_create']","['docker-runc', 'init']",[],0,0
socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['socket_pair_create', 'socket_create']","['docker-runc', 'init']",[],0,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['memory_read'],"['memory_write', 'clone_mem']","['docker-runc', 'init']",[],1,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['memory_read'],"['memory_write', 'clone_mem']",[],[],0,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/init.pid', '--root', 'ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', '--log', 'json', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', '--pid-file', '--log-format', 'docker-runc', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/log.json', '--bundle', '/var/run/docker/runtime-runc/moby', 'create']",1,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/dockerd'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],1,0
socket,[],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['receive_msg'],['socket_create'],[],[],0,0
process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],"['memory_write', 'clone_mem', 'exec_task']",[],[],0,0
file,"['/systemd/netif/links/13', '/systemd/netif/links/.#13zoJupE']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'perm_check', 'open', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#statedvrzDV']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'perm_check', 'open', 'read']","['write', 'rename']",[],[],0,0
