object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,priviledged_flow,labels
file,"['/systemd/netif/links/3', '/systemd/netif/links/.#3JUXFRc']","['/lib/systemd/systemd-resolved', '/usr/bin/python3.6']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'open', 'perm_check', 'read']","['write', 'rename']",[],"['--no-legend', '/bin/networkctl', '--no-pager', 'list']",0,0
process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]","['memory_read', 'ptrace_read']","['memory_write', 'clone_mem']",[],"['/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/init.pid', '/var/run/docker/runtime-runc/moby', 'start', '--root', 'ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', '--log', 'json', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', 'state', '--pid-file', '--log-format', 'docker-runc', '--bundle', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/log.json', 'create']",1,0
process_memory,['/usr/bin/docker-runc'],"['/usr/bin/docker-containerd-shim', '/usr/bin/docker-runc']",['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]","['memory_read', 'ptrace_read']","['memory_write', 'clone_mem', 'exec_task']","['/proc/self/fd/3', '/overwrite_runc', '/entrypoint']","['/var/run/docker/runtime-runc/moby', '--root', '/overwrite_runc', '--log', 'ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', 'state', '/proc/self/fd/3', 'json', '--log-format', 'docker-runc', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/log.json']",1,0
file,"['/systemd/netif/state', '/systemd/netif/.#stateRe3Vwu']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'read', 'getattr']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/.#13ZcOecM', '/systemd/netif/links/13']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'open', 'perm_check', 'read']","['write', 'rename']",[],[],0,0
process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-journald'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#statejMxMX3']","['/lib/systemd/systemd-timesyncd', '/bin/networkctl']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/13', '/systemd/netif/links/.#13XRnmJl']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'perm_check', 'open', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/.#stateHuxWKE', '/systemd/netif/state']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'open', 'perm_check', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/netif/links/3', '/systemd/netif/links/.#3VyxzMX']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['getattr', 'perm_check', 'open', 'read']","['write', 'rename']",[],[],0,0
file,"['/systemd/resolve/stub-resolv.conf', '/systemd/resolve/.#stub-resolv.confH09E7W']",['/usr/bin/sudo'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['getattr', 'open', 'perm_check', 'read']","['write', 'rename']",[],[],0,0
process_memory,['/lib/systemd/systemd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['--prefix=/net/ipv6/neigh/veth48bc96d', '--prefix=/net/ipv4/conf/veth4cbfb79', '/lib/systemd/systemd-sysctl', '--prefix=/net/ipv6/conf/veth4cbfb79', '--prefix=/net/ipv6/conf/veth48bc96d', '--prefix=/net/ipv4/neigh/veth4cbfb79', '--prefix=/net/ipv6/neigh/veth4cbfb79', '--prefix=/net/ipv4/neigh/veth48bc96d', '--prefix=/net/ipv4/conf/veth48bc96d']",0,0
process_memory,['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-journald'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['memory_read', 'ptrace_read']",['memory_write'],[],[],0,0
process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']","[0, 0, 1, 0, 0]",['memory_read'],['memory_write'],[],[],0,0
file,['/usr/bin/docker-runc'],"['/usr/bin/docker-containerd-shim', '/bin/bash', '/usr/bin/docker-containerd']",['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]","['getattr', 'open', 'perm_check', 'read_ioctl', 'read']",['write'],"['/proc/self/fd/3', '/overwrite_runc']","['--root', 'cat', '-address', '/bin/bash', 'state', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/log.json', '-runtime-root', '-workdir', 'delete', '--log', '--log-format', 'docker-runc', 'docker-containerd-shim', '/var/lib/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', '9', 'ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af', '-namespace', 'json', '/var/run/docker/containerd/docker-containerd.sock', '/usr/bin/docker-runc', '-containerd-binary', 'kill', '--all', '/usr/bin/docker-containerd', 'moby', '/var/run/docker/runtime-runc', '/var/run/docker/runtime-runc/moby']",1,1
